EmployeeID,Experience,EducationLevel,PerformanceScore,Age,Department,Gender,WorkHours,Salary
83010,24,2,1.67,45,Sales,Female,45,85571.51387631033
68845,2,4,4.58,38,IT,Female,52,102135.4453552205
3932,28,2,1.65,45,Marketing,Male,56,59783.72456051595
82325,34,1,4.54,52,HR,Male,60,36774.78175014489
23648,24,4,2.04,45,IT,Female,48,81108.31797502378
90400,36,2,3.59,58,Finance,Female,48,93490.64938060113
48150,23,2,2.16,63,Finance,Male,59,80920.06975550785
88863,10,1,3.36,40,IT,Male,49,72971.30617934561
67036,30,4,1.14,40,HR,Female,52,53423.33289997705
98763,11,1,3.78,37,Finance,Female,55,92341.84140594985
76438,22,3,1.26,45,Finance,Female,60,106336.7585880588
87092,13,3,4.41,47,Finance,Male,60,85399.48152205355
86644,32,1,2.07,20,Finance,Male,38,55703.390048162866
61550,40,1,1.81,23,Marketing,Female,48,70324.77895802645
48169,16,2,4.8,49,Finance,Male,34,85426.80614520106
11879,23,1,3.99,55,Marketing,Male,43,74519.61113109459
69891,2,4,2.56,55,IT,Female,34,121907.09144784231
17474,13,2,3.78,48,IT,Female,30,70311.79922318633
57871,36,2,1.72,22,Marketing,Male,39,59783.41984697398
80922,36,4,2.64,43,Sales,Male,35,71871.58859791842
84977,16,4,1.41,37,IT,Male,42,93747.3899984702
63506,22,1,4.76,27,Sales,Female,54,59241.38144420434
40326,2,1,3.51,23,IT,Male,35,117404.99761247975
66460,13,3,4.46,41,Sales,Female,52,104425.400595581
73224,27,3,3.2,57,Finance,Male,36,63844.91238388681
55463,25,1,1.78,39,Sales,Female,60,49667.93812074393
68792,28,3,2.75,58,Marketing,Male,41,65529.31715701782
18923,40,2,2.37,38,Finance,Male,53,117625.7256356118
6750,37,3,2.71,40,Marketing,Female,37,65575.12881077355
87524,4,3,4.9,38,Sales,Female,40,94859.70511668091
16009,25,4,3.82,48,IT,Male,52,110348.32512996986
35584,37,1,3.28,56,Sales,Male,43,73835.96687959664
92025,2,3,3.31,30,IT,Male,60,100462.629111971
2423,23,3,1.75,59,Sales,Female,55,102354.20014285411
57702,34,3,1.56,36,Marketing,Female,40,49111.94939209833
50369,39,3,3.42,63,IT,Female,57,109784.66448946012
44752,8,2,1.17,20,Marketing,Male,44,58853.18012523817
38200,5,3,3.09,34,IT,Female,52,104101.40122697438
24937,36,1,1.25,20,Sales,Male,42,91786.97802754206
89840,13,2,4.5,51,Marketing,Female,57,83420.18283232984
15796,21,4,2.17,38,Finance,Female,59,79584.86980445024
91708,9,3,3.78,26,Finance,Female,42,84308.21827907003
76482,37,3,2.75,46,HR,Male,44,61651.27447955128
53515,4,4,3.26,25,HR,Female,50,53054.51252187612
79306,10,1,3.43,28,Sales,Female,54,70856.23534119086
63836,27,3,4.6,64,IT,Female,58,76741.96324767066
89684,37,3,1.87,62,HR,Male,33,50269.80388267751
41810,4,4,4.87,62,Marketing,Female,43,68278.15542699554
90089,22,4,4.87,64,Sales,Male,53,84320.64056081243
70886,22,4,4.77,45,Marketing,Female,44,85968.56285755873
29736,37,4,2.12,54,IT,Female,55,91269.47022370758
50293,4,3,1.19,21,HR,Female,59,41085.64890863176
23647,35,3,3.42,24,Finance,Male,40,101116.53198553406
3815,5,2,2.7,44,Sales,Male,51,58366.21478207732
44654,38,1,2.17,57,HR,Male,60,47697.01058851037
68506,10,3,1.1,28,Marketing,Male,46,53480.755548298424
66503,21,3,4.21,48,HR,Male,52,80499.19898116481
18079,6,4,2.53,57,Marketing,Female,32,59553.33716556678
70380,30,1,2.82,38,Sales,Female,49,67851.3877467402
8065,6,3,2.72,22,Finance,Female,56,91448.22495266444
61112,4,1,1.98,40,Finance,Female,50,74413.73453061323
85352,27,3,1.74,60,HR,Male,33,41268.689267011156
50548,39,1,3.34,48,Sales,Male,34,87751.45923433921
49355,30,4,4.06,58,Marketing,Male,48,67170.4252593394
58543,40,2,1.07,55,Finance,Female,53,109812.60138532288
45859,40,1,2.42,54,Finance,Female,45,77923.27636089944
88039,38,1,4.49,28,Marketing,Female,36,58262.5672832123
47270,28,3,3.83,33,Sales,Male,57,74506.06433312426
19451,22,2,4.04,65,Finance,Male,51,90746.14628974794
97461,3,3,3.41,58,HR,Male,30,69133.77338617321
59542,38,4,2.67,30,Sales,Female,40,59844.427417366154
73817,24,2,4.77,51,IT,Male,36,67163.61365389191
19488,21,3,3.2,42,Marketing,Male,55,71367.57144166995
2125,37,2,2.86,55,Marketing,Female,38,80708.2542840727
63875,25,4,2.79,35,HR,Female,39,84664.92950605265
69521,7,4,3.34,63,IT,Female,45,92707.8890641592
16369,37,1,1.63,58,Finance,Male,31,103501.75195361383
45417,36,4,1.46,35,Sales,Male,40,61199.77042116917
96850,13,2,3.86,44,Finance,Male,57,89806.14392350479
55817,32,2,1.5,62,Marketing,Male,59,72861.43062275392
41758,1,2,2.12,46,Marketing,Female,35,54567.151049705135
70124,15,2,4.81,47,Sales,Male,53,74484.21056242644
87080,2,2,3.91,56,IT,Male,48,83183.19517609439
24838,12,3,4.92,22,Sales,Female,40,95056.73671166807
59055,9,1,2.78,31,Finance,Male,52,81367.44115147379
9686,30,1,2.0,43,IT,Male,34,69928.60981190234
9979,39,1,3.15,39,Finance,Male,43,107287.1140725751
53774,3,2,4.79,55,Marketing,Female,58,55222.66516343387
39725,26,3,4.3,38,Marketing,Male,43,64357.15973521523
37055,17,1,2.28,27,Sales,Female,58,46309.062726026306
39069,34,2,3.86,51,Sales,Female,44,70575.9715546805
52770,11,1,2.26,51,Finance,Female,57,83411.7446860386
27112,35,4,4.41,31,IT,Female,34,119078.28546900135
19250,33,1,4.44,36,Sales,Male,38,84409.2781290499
68156,15,3,2.24,59,Marketing,Male,54,65839.31837434656
83518,1,4,3.49,24,IT,Male,55,122443.51135198613
2776,18,4,2.88,34,Marketing,Female,53,60999.256825438206
13977,35,1,2.71,42,Sales,Male,43,53469.62172941901
97829,8,4,3.37,22,Sales,Male,43,77985.68284466934
77995,9,4,3.34,49,Sales,Female,31,68007.81487403014
3668,33,1,4.41,51,HR,Female,58,48003.48143136947
39013,36,3,1.04,37,Sales,Male,52,73538.9621531759
46546,34,4,3.83,25,Sales,Male,40,74709.87882883099
41884,30,4,3.45,21,IT,Male,34,135638.6720250877
213,2,4,4.6,23,Marketing,Male,54,76604.73353831882
8191,29,4,2.6,52,Marketing,Female,46,84196.69241897162
1954,33,4,2.66,43,Sales,Female,58,70514.58608684834
43932,26,3,4.12,51,Finance,Male,39,87083.67841783022
20516,33,4,1.08,32,IT,Male,43,117002.29967302065
47898,3,1,1.4,52,HR,Male,39,71601.71377141213
14687,33,3,4.82,25,Finance,Male,34,67879.58382719386
9277,35,4,1.14,35,Finance,Female,52,77899.16929266152
48504,18,4,3.25,47,IT,Female,59,119080.41397124212
48986,22,2,2.51,41,Sales,Female,58,63543.11435888655
66404,32,2,4.54,30,HR,Male,45,38282.24644560959
33838,21,2,1.02,32,Finance,Female,35,102341.71693457862
23508,38,4,2.15,44,HR,Female,39,48707.70782808449
23105,4,1,3.67,54,Marketing,Male,49,50121.92336616593
85788,6,3,3.0,38,IT,Male,47,94653.46425172938
34248,8,1,4.37,25,HR,Male,47,82131.24104748487
46605,28,2,4.98,34,HR,Female,34,72813.87639210754
20623,27,4,2.59,41,Marketing,Female,58,89206.26848580502
93652,6,3,1.25,39,Sales,Male,40,87899.36236649341
72038,22,2,4.06,49,Marketing,Male,38,71132.24290986816
67162,25,3,4.98,51,Sales,Male,34,84070.87255572378
49143,15,2,4.15,43,IT,Female,51,87430.16460455894
94164,19,1,3.13,61,Sales,Female,46,73225.48251398676
52006,40,4,3.62,62,Marketing,Female,51,60051.76804316915
25023,25,1,1.3,35,Finance,Male,57,94377.5916488634
62344,3,1,2.25,35,Marketing,Female,55,66697.42301871226
85117,28,2,2.59,28,Sales,Female,48,68778.97789503702
46929,36,3,4.83,59,IT,Male,33,121165.58840824144
25672,4,2,3.04,54,Sales,Female,56,71657.8806462216
37895,37,3,2.44,64,Finance,Female,55,81306.90463468249
39117,20,3,1.05,60,IT,Female,46,117712.30079997245
46881,1,1,4.17,33,Sales,Male,39,92133.96491326974
72245,32,1,1.77,56,Finance,Male,35,90798.05941998564
41087,27,4,3.54,37,Marketing,Female,35,87388.31917821255
87142,33,4,2.87,45,HR,Female,47,55338.42785187238
64626,9,4,4.84,44,Marketing,Female,46,58641.948575172806
16310,1,1,3.91,22,Marketing,Female,49,76306.49145292948
75183,34,2,1.48,38,IT,Female,59,82003.75987408322
24789,10,2,4.86,27,HR,Female,48,71334.45399665009
83941,22,1,2.05,50,IT,Female,50,97559.91624518012
45776,29,3,2.42,37,Finance,Male,42,89909.00945938953
86911,7,3,3.53,29,Sales,Male,39,69821.67038578658
25863,22,3,4.99,59,HR,Male,39,74545.71583381022
40414,7,2,3.54,20,Sales,Male,32,97772.84583294809
21793,29,4,4.79,29,Finance,Female,59,87584.33673882503
87526,32,1,2.78,22,Finance,Male,50,73652.21221791858
62763,3,1,4.0,23,IT,Female,55,73522.53750969443
63788,32,2,4.86,62,Finance,Female,51,118771.36207621593
20032,7,3,2.97,47,HR,Male,51,51777.68607337074
7751,37,4,4.61,47,Sales,Female,31,97340.00247046046
46047,20,4,2.17,61,Sales,Male,51,60205.18812286772
90194,6,3,1.83,60,Sales,Male,60,70128.85543671563
88946,34,3,4.45,34,HR,Male,55,61408.031409657975
44739,1,4,4.39,23,Finance,Male,50,65690.76387657068
35754,11,2,2.53,49,HR,Male,60,73096.4252396649
69909,19,2,4.56,61,HR,Male,39,85745.99397161737
17196,33,3,2.0,45,HR,Male,56,55249.46872065102
55552,36,1,1.96,49,HR,Male,43,53106.30610644006
92968,32,1,4.35,41,Sales,Male,45,52882.90462925591
83408,20,2,4.97,36,Marketing,Male,48,52750.586898644186
59708,29,4,2.66,33,Marketing,Female,56,75770.71281899433
28375,21,3,2.85,24,IT,Female,60,108953.62552972764
10488,5,3,4.85,53,IT,Male,49,101185.04359223
68840,40,2,2.56,58,HR,Female,60,42732.148510846884
45697,5,4,2.39,59,Finance,Female,45,97871.93680174142
23330,19,3,2.52,27,Finance,Male,44,77952.92263184117
85819,36,3,2.29,49,Sales,Male,32,103069.25621587639
46864,6,2,2.91,54,Marketing,Female,40,57263.01026017452
20464,8,1,1.25,20,Sales,Female,36,56073.65316021455
43881,13,3,2.84,48,Finance,Male,58,78876.87480042438
90693,40,3,4.92,20,IT,Male,46,83514.1763360433
88504,20,1,1.06,41,IT,Female,51,82908.92975456105
84961,11,2,1.97,54,Sales,Male,52,98174.23843153023
1844,21,4,4.15,32,IT,Male,35,101362.6574532736
34924,18,1,4.53,55,IT,Female,58,77620.45255346583
92450,12,2,1.82,35,IT,Male,32,97031.828200903
34213,27,1,3.3,22,HR,Female,31,77963.008817466
11668,1,1,3.71,57,IT,Female,50,100122.956256529
86974,11,3,4.75,50,Sales,Male,44,83876.65377679827
58205,19,4,3.45,38,HR,Male,36,62216.846102466334
62334,20,1,2.43,64,HR,Male,54,54621.87392731214
91550,4,1,4.2,35,Finance,Female,48,71310.90696629995
36067,18,2,4.0,33,IT,Female,60,117686.18226085449
67135,35,2,3.85,55,Sales,Male,56,94061.37069693161
56761,33,3,2.53,34,HR,Female,33,63548.292833367545
52097,10,3,2.79,20,Marketing,Female,31,61602.67403704126
9595,5,1,1.78,46,HR,Male,36,66818.30095187257
93098,38,4,2.43,42,IT,Male,33,114989.42064405174
31166,35,2,1.24,52,Sales,Male,53,63059.340671052836
99002,27,4,2.96,38,Finance,Male,47,77287.75298483683
15305,14,3,3.81,20,Sales,Male,55,74078.40009547731
71395,22,2,2.14,25,Finance,Female,58,63575.27611035347
32695,14,3,2.67,30,IT,Male,52,120843.48145370017
45938,5,3,4.3,44,Sales,Male,49,63865.98874467338
79684,40,2,3.85,52,Marketing,Male,57,77512.16684141432
36277,30,2,3.29,46,Sales,Male,30,96704.29294790987
5000,6,2,4.69,47,IT,Male,59,110729.85919951907
14460,10,4,2.16,20,Marketing,Female,54,61341.99826197091
3546,9,2,4.72,41,Finance,Male,38,126148.72044662663
73550,3,1,3.92,39,HR,Female,33,54499.59511159005
45107,7,2,3.64,38,IT,Male,47,99185.28706671196
85712,15,3,1.54,51,Sales,Male,51,83689.27157384715
71592,38,4,3.64,35,Finance,Female,50,83949.06767615805
66976,31,4,2.9,59,HR,Male,36,70234.16667398112
82808,35,4,2.71,64,Finance,Female,38,90986.39630783649
9812,35,4,3.41,58,Sales,Female,33,92184.3177926655
43277,34,1,4.12,59,Finance,Male,42,76159.93639490228
13644,35,4,2.47,27,Marketing,Female,53,63403.775970850606
95301,39,2,1.69,46,Finance,Female,52,73059.51796472112
4543,10,4,4.33,27,IT,Male,49,94678.49382079527
42493,6,1,1.07,39,Sales,Male,46,62277.27344419522
88162,32,1,3.98,26,IT,Male,54,67956.35383713144
48806,33,4,1.62,44,HR,Female,52,53769.271201405485
83598,24,3,1.83,32,Sales,Male,34,77456.90855480477
53299,5,2,1.07,31,Sales,Male,48,88413.58022832478
80907,14,3,3.7,36,HR,Female,44,80397.30973527388
94559,26,2,4.0,65,Finance,Female,49,88466.78098506316
71699,30,1,3.3,62,Finance,Male,60,81778.32630275574
70842,22,3,4.7,39,Marketing,Male,51,52068.150170229936
38751,3,4,2.12,63,Marketing,Female,45,69114.82963566875
35368,1,3,1.95,36,Marketing,Female,48,87514.55574593312
37148,5,2,2.04,55,Marketing,Female,44,54127.65267190609
56996,6,4,3.19,24,Finance,Female,55,90627.09714073114
75098,31,2,4.87,63,IT,Male,57,99503.17026714668
2508,9,3,1.54,25,IT,Female,52,108918.34764210958
86479,2,1,4.12,23,Finance,Male,30,87879.373219691
43444,18,2,2.29,57,Finance,Male,45,50928.66329965464
25071,15,4,3.49,40,HR,Male,45,62235.061793328554
59456,23,2,4.92,37,HR,Male,57,62814.1592430342
36304,32,2,4.03,37,IT,Female,46,94973.08409017575
31672,25,1,1.52,27,HR,Male,46,73319.05651965817
23872,15,2,1.46,54,Marketing,Male,57,76515.29311019684
10200,15,1,1.68,26,IT,Male,57,103204.77756651508
44097,27,1,3.02,56,IT,Male,31,79531.70288643046
39438,5,2,1.45,40,Sales,Male,44,69149.36644533058
45071,37,3,4.78,58,Sales,Male,47,56356.6892441028
76312,18,4,2.45,38,Finance,Male,31,82775.8187607748
84036,28,1,1.47,44,IT,Male,32,80252.16530509794
15058,14,4,4.23,65,Marketing,Male,53,72453.45674476025
76545,34,3,4.56,65,Sales,Female,36,99209.51737131635
71345,5,1,3.15,35,IT,Female,60,111812.29847786736
29390,31,2,3.64,31,Marketing,Female,48,78662.91561420602
34318,10,3,2.69,26,Finance,Female,32,84071.01042495009
80066,3,1,4.45,35,Marketing,Female,31,58820.4320156912
19539,25,1,2.8,41,Sales,Male,45,82988.58672625624
52457,11,1,1.61,41,HR,Female,35,63920.65337260524
26002,24,2,3.64,65,Marketing,Female,50,56990.08408072676
354,13,4,2.57,21,Finance,Male,57,81443.92250586576
40834,5,1,4.93,21,Finance,Female,37,85435.16687328133
1350,35,3,4.44,63,Finance,Female,31,75189.56100238749
53667,37,4,3.63,62,HR,Female,46,81548.07452482208
13193,31,2,1.23,21,HR,Male,44,82743.58603242289
71900,15,4,3.99,33,Marketing,Male,40,85810.95933867517
33982,20,2,2.36,26,Marketing,Female,50,57758.50240089703
13717,14,2,4.26,59,Marketing,Female,32,49531.38874821363
29637,31,3,4.69,24,Marketing,Female,34,63518.99532670584
76163,36,3,3.81,64,Sales,Female,60,64097.176215278945
26827,19,3,4.26,29,Finance,Female,52,107780.01048510513
1149,37,2,4.43,63,Finance,Male,36,68252.07742982524
199,12,2,3.16,55,Finance,Male,45,110988.45202369674
99375,25,3,1.79,64,IT,Female,44,90428.99937716626
52122,15,1,4.68,25,IT,Female,32,122362.49760438304
93223,10,4,2.18,52,Sales,Female,49,85743.3105941948
27499,21,2,1.28,41,Sales,Male,40,90084.14420961805
30217,37,2,4.24,61,IT,Female,52,90974.02494538964
90854,3,3,1.89,55,HR,Female,38,43192.094799015154
2769,38,3,4.48,53,Sales,Male,53,93040.46802561631
11046,12,1,1.28,61,IT,Female,30,69411.85132716733
39991,4,2,1.62,26,Finance,Male,51,63853.49203017926
10035,14,1,4.49,43,Sales,Female,47,75032.63691654391
29905,24,2,1.66,33,Marketing,Male,41,59301.32447894212
61259,17,3,4.99,58,HR,Female,41,66045.14305582085
1965,30,2,1.35,45,Marketing,Female,32,55376.486905850186
93285,13,4,4.78,38,HR,Female,55,77256.03673783052
54836,10,4,3.81,48,Marketing,Male,56,59977.593983863895
52007,40,2,2.29,32,HR,Male,32,58280.88425993595
47414,32,3,3.83,35,Finance,Female,47,112160.08174494015
37383,10,1,2.4,53,Finance,Male,56,63638.54818000319
80514,37,4,3.75,51,HR,Female,56,91612.39403577165
4855,39,3,3.62,56,HR,Female,51,83217.0192081638
41303,30,3,3.31,47,IT,Male,36,91236.76485647482
23695,2,3,1.68,43,Finance,Male,53,94556.66621703272
74200,40,1,4.33,54,Marketing,Female,45,58436.83176244221
40687,31,4,3.99,61,Marketing,Female,45,76771.28472816158
8731,37,4,4.11,53,Finance,Male,48,95801.9798249636
9706,5,1,2.93,35,Finance,Male,32,82647.78512718457
42611,31,2,1.15,23,HR,Male,36,51026.89658383264
71880,5,4,1.77,42,IT,Female,44,103065.9363784273
73925,28,3,3.73,33,Sales,Female,38,54880.91309250149
51068,17,2,1.63,57,HR,Female,51,59966.05693606134
48911,38,2,3.42,36,HR,Female,58,84433.55436750034
76635,31,1,3.47,28,Finance,Female,50,67318.31346981468
82563,10,2,4.28,53,HR,Male,52,61332.59908526078
12228,19,3,1.64,51,IT,Male,35,98446.7275463214
81689,10,3,1.88,24,Marketing,Female,46,68026.76613576543
86360,24,3,4.13,32,Sales,Female,45,89665.72814257085
3928,8,3,1.37,64,Marketing,Female,42,60876.02279096863
69004,27,3,3.79,25,Finance,Female,59,84340.19144243945
95304,15,3,4.59,48,Finance,Female,34,83974.59866708875
71787,21,3,4.36,46,Finance,Female,59,97693.71309248931
98006,11,3,3.2,25,Sales,Female,50,51917.51401603744
97517,32,3,2.25,26,HR,Male,33,71503.07079173504
18580,20,3,4.86,43,Sales,Male,54,86467.65727137812
93867,18,3,4.22,43,IT,Female,54,68013.37723598012
67366,12,4,1.78,47,Sales,Female,42,72345.89802216785
23777,20,2,4.62,20,Sales,Female,57,78097.43605745956
21850,7,3,2.64,50,Marketing,Male,49,64997.83285554362
36394,5,4,4.32,23,IT,Male,31,120678.28412314435
33002,15,2,4.82,48,Marketing,Male,48,82822.80847190839
16069,17,1,3.7,64,Sales,Female,36,73304.24968678819
56060,40,2,2.44,26,IT,Female,32,72542.57829251338
55433,25,4,3.12,65,Finance,Male,39,96396.68112811723
75982,2,2,3.42,38,Sales,Female,47,87758.77889373782
29625,31,2,2.29,41,Marketing,Male,53,79860.76424144076
70830,10,3,2.04,39,Finance,Female,37,74398.53782799002
34354,23,2,4.64,55,IT,Female,32,120568.78108474777
70098,37,2,4.33,25,Sales,Female,57,86849.29811601009
49943,4,1,2.69,34,Marketing,Female,30,81767.30735018286
82585,13,1,1.07,28,IT,Female,58,77505.91896048655
55370,24,4,4.39,38,Marketing,Female,60,75537.35317681095
28047,16,4,3.39,28,HR,Female,32,65068.43432003805
57482,13,3,1.96,22,HR,Male,59,63370.706805399306
79195,19,1,4.22,56,HR,Female,49,70775.59280169045
13934,2,4,3.71,57,Sales,Male,33,54297.845282238384
8278,18,4,4.81,36,Marketing,Male,56,89092.73257120587
18610,23,2,3.3,53,Marketing,Female,39,56753.69456501289
71052,19,3,4.23,43,Marketing,Female,56,64750.199257715714
12939,37,4,2.24,31,Marketing,Male,34,65614.55861049471
11694,22,1,3.06,23,Finance,Male,45,77510.71995855556
94939,25,2,1.27,27,Sales,Male,32,90860.89764057082
92168,11,1,4.53,50,Marketing,Female,33,76846.46240905208
73849,2,2,2.8,29,IT,Male,37,121290.96200390898
34397,7,4,4.44,27,Sales,Female,43,90831.38049274415
19073,1,4,1.97,20,HR,Male,58,62838.95108072267
56933,23,3,3.04,24,HR,Male,46,65035.55087129471
12449,27,1,1.28,58,Marketing,Male,41,55946.991456227246
75886,11,4,4.73,27,Finance,Male,35,97682.7180389752
47286,39,4,4.09,30,Sales,Male,30,85864.35413042603
52250,25,4,2.86,25,HR,Female,36,66128.91228755779
68755,24,2,2.04,44,IT,Female,50,78202.26218555975
23900,2,1,2.92,45,Marketing,Male,45,56195.603183603394
45283,40,4,2.36,37,Sales,Female,50,62998.710028691756
15435,32,2,3.28,29,Finance,Female,54,125411.01466608836
92832,18,1,4.03,45,HR,Female,49,38855.508573224244
95053,32,2,4.51,28,HR,Male,57,74921.39078909613
418,7,4,3.01,27,Sales,Female,59,86502.03677277989
72436,23,2,3.58,28,Sales,Female,49,65196.52137845097
83293,34,3,1.35,51,Finance,Female,60,73330.2248915962
51851,22,4,3.46,36,Sales,Female,52,66395.3366922315
43780,38,4,3.53,28,Sales,Female,39,91154.96893238105
3988,25,2,1.26,45,Sales,Male,32,92691.77987888579
50507,15,1,2.62,22,Marketing,Female,34,85818.85419607942
51020,33,1,4.47,44,Marketing,Female,57,78853.11919093026
85578,20,2,2.66,61,Finance,Female,47,89665.48172168799
33591,40,1,2.02,60,Marketing,Male,53,51887.92664325821
8366,34,1,1.12,36,HR,Male,30,77224.59585753253
18291,28,1,4.27,32,HR,Female,34,68940.8339648968
81342,23,4,3.46,25,Finance,Male,56,102522.29382927177
67517,30,1,1.63,28,Finance,Male,45,70810.20060360644
89308,21,4,4.16,41,Finance,Female,42,105971.12173947648
43756,29,1,2.03,30,Finance,Female,48,51953.32735454561
39865,23,3,3.61,62,IT,Male,45,105574.36187082707
77231,35,4,3.51,49,IT,Male,58,119783.3007737369
51132,37,4,1.36,46,HR,Female,42,54726.08155986731
16241,29,1,3.8,32,Finance,Female,56,60600.86170602817
59261,7,2,3.5,34,HR,Female,47,63164.12488523113
68813,17,4,2.9,31,HR,Female,41,78636.21849859091
81868,37,3,2.0,21,Marketing,Female,34,79511.9029688237
54128,21,3,1.03,35,Finance,Female,48,95379.67264260378
64995,3,2,3.31,59,Marketing,Male,53,83146.2496617375
57445,12,3,2.91,37,IT,Male,57,118329.89785308702
9795,25,1,3.19,35,Sales,Female,37,75890.10257489354
99933,24,1,2.41,64,Marketing,Male,44,57522.4781585595
98105,38,2,4.53,55,IT,Male,49,72482.19417029375
2821,35,2,1.57,58,Marketing,Female,37,72294.07439044445
88338,25,1,4.18,22,IT,Male,48,115759.78954081066
73064,28,4,3.06,41,HR,Male,57,49449.42914632189
65612,25,1,4.8,41,Sales,Male,49,75991.38410949254
88371,1,3,1.05,32,IT,Male,42,98915.57005989796
89494,10,1,3.7,54,Marketing,Male,42,74569.56731721724
99621,28,4,2.49,58,IT,Female,40,87269.75987761261
37882,15,1,3.64,46,Marketing,Male,52,72493.37317146429
29634,26,2,2.24,56,Finance,Male,30,70204.48592031913
2830,37,3,3.43,29,Finance,Female,53,89994.59240705054
80901,25,3,1.33,31,Marketing,Male,55,73210.73962440994
82125,9,2,4.33,43,Sales,Female,49,72536.70421221602
15468,4,1,1.67,37,Marketing,Female,58,58068.179257604635
56995,37,3,4.13,42,IT,Male,43,119583.85475477178
65263,19,2,2.32,26,Finance,Male,56,91885.87974792573
85271,33,1,3.41,49,HR,Male,56,63421.157787661745
56215,16,2,1.8,41,Sales,Male,43,73027.38269709947
43648,37,4,2.58,23,HR,Female,55,68031.2572999922
36453,2,1,1.52,54,IT,Male,44,93347.12243424794
67173,32,1,2.26,49,IT,Female,53,109641.30256788443
93778,25,3,1.51,34,IT,Female,55,110061.70743667113
14113,18,2,2.77,34,Marketing,Female,49,43833.8391111995
35502,1,4,3.62,65,Sales,Male,49,75612.96582777721
30470,13,1,1.96,44,Sales,Female,46,85465.71127897981
27932,6,2,1.08,39,IT,Female,44,75877.78526048014
51689,36,2,4.33,37,Finance,Female,59,94704.47390209888
92008,26,1,1.5,33,Finance,Female,34,99865.07772785646
11193,36,3,3.11,29,IT,Male,39,81121.49270892554
95363,11,3,2.59,45,Marketing,Male,54,48819.087803224225
57799,6,1,4.31,33,IT,Male,52,125919.2615055169
74852,6,2,1.26,27,Marketing,Female,42,62427.327244696535
7077,28,3,4.69,54,Marketing,Male,36,81330.52625952954
16466,17,2,3.49,65,Finance,Male,53,94763.78949980062
32352,28,1,2.02,27,HR,Male,59,49826.399802436055
85947,9,3,2.25,20,Marketing,Female,58,58739.652497475734
82532,9,3,3.3,20,IT,Female,55,107233.36274415019
54723,2,1,1.16,37,Finance,Female,37,70628.99123048424
28913,18,1,4.99,30,Sales,Male,33,54236.60106836323
20026,30,3,4.33,32,Finance,Female,38,73499.66541331653
55957,3,1,1.37,65,Sales,Female,34,46063.932390555245
27832,25,1,3.81,22,Finance,Male,44,95425.60451363414
40942,6,4,4.56,36,IT,Male,42,121008.7116025062
8226,24,1,2.4,53,Finance,Female,38,100731.36976832229
3494,10,1,2.12,35,Marketing,Male,30,78378.23257758922
1316,17,1,2.98,60,Sales,Female,47,58754.7119081378
65762,5,4,2.38,39,Marketing,Female,48,59980.63583868828
52339,10,1,2.64,32,Marketing,Male,44,79025.8482002272
64645,34,3,4.01,29,Marketing,Male,41,81490.78838790313
18232,23,4,2.17,59,Marketing,Female,46,66198.75347326409
40243,21,1,2.94,33,IT,Female,43,87858.61053705576
18385,22,1,1.08,52,HR,Male,49,81371.62566458195
40884,21,1,3.52,62,IT,Male,58,86826.31775985865
25412,32,3,3.38,34,HR,Female,30,48405.37246003707
85477,8,4,3.99,25,IT,Female,57,103370.89955367112
46396,24,4,1.47,63,Finance,Female,43,98344.35975154585
56609,21,1,2.77,44,IT,Female,54,82116.15200233388
